iter	Logloss
0	0.4898286856
1	0.3453847087
2	0.2484565622
3	0.1787798846
4	0.1299691358
5	0.09687325035
6	0.07323929787
7	0.05696242605
8	0.04483140237
9	0.03622284377
10	0.03008472404
11	0.0255407988
12	0.02200393996
13	0.01919686272
14	0.01713059525
15	0.01542570582
16	0.01413277241
17	0.01312855742
18	0.01228213467
19	0.01160564916
20	0.01104255993
21	0.01059727768
22	0.01024523539
23	0.009914201209
24	0.00964771124
25	0.009422866577
26	0.009250630287
27	0.00910193232
28	0.008990008087
29	0.00886097026
30	0.008761356109
31	0.008688997116
32	0.008634982745
33	0.008581571198
34	0.008529249499
35	0.008492588216
36	0.008454526305
37	0.008429855601
38	0.008395856743
39	0.008377461246
40	0.008359357171
41	0.008346613293
42	0.008325067652
43	0.008309588928
44	0.008294638658
45	0.008285101234
46	0.008276242206
47	0.008265991483
48	0.008256841151
49	0.008250143475
50	0.008229088791
51	0.008212572114
52	0.008198630013
53	0.008189931485
54	0.008178406503
55	0.008170677126
56	0.008163323214
57	0.008161439391
58	0.008152652222
59	0.00813883565
60	0.008125360538
61	0.008120254585
62	0.008110605794
63	0.008109768213
64	0.008109438266
65	0.008104196694
66	0.008100624975
67	0.008097582179
68	0.008095154983
69	0.008091460327
70	0.008085459444
71	0.008084176761
72	0.008077580558
73	0.008076691879
74	0.008074764944
75	0.008065819493
76	0.008065526031
77	0.008062919714
78	0.008061005148
79	0.008059548315
80	0.008058684046
81	0.008057291721
82	0.00805117791
83	0.008050354852
84	0.008049026703
85	0.008044204509
86	0.008041059016
87	0.008040719849
88	0.008040217847
89	0.008038710309
90	0.0080364391
91	0.008035541982
92	0.008032761457
93	0.008027641807
94	0.008026608734
95	0.008026350829
96	0.008025895603
97	0.008024511573
98	0.008023122555
99	0.008021856416
100	0.008021353321
101	0.008019785804
102	0.008019436131
103	0.008018925287
104	0.008017731608
105	0.008011255827
106	0.008009477819
107	0.008009217803
108	0.008004194947
109	0.008001120734
110	0.007998188175
111	0.007996746312
112	0.007995432181
113	0.007992328187
114	0.007991324165
115	0.007983971852
116	0.007982370888
117	0.007982062595
118	0.007981792214
119	0.007981249356
120	0.007979868012
121	0.007977558418
122	0.007971264154
123	0.007969439303
124	0.007967758458
125	0.007965568006
126	0.007964038437
127	0.007963078569
