Feature,Importance,Normalized
right1000,516,0.16380952380952382
left2000,289,0.09174603174603174
right4000,279,0.08857142857142856
left4000,251,0.07968253968253969
AgeAtTest,242,0.07682539682539682
right2000,232,0.07365079365079365
wyciyh,164,0.05206349206349206
tut,160,0.050793650793650794
qscore,127,0.040317460317460314
mfaf,117,0.037142857142857144
fafmc,105,0.03333333333333333
left1000,102,0.03238095238095238
ffahs,99,0.03142857142857143
gender_male,97,0.030793650793650793
gender_female,81,0.025714285714285714
hpyfs,72,0.022857142857142857
gender_unknown,54,0.017142857142857144
pta_avg,48,0.015238095238095238
gender_mostly_male,39,0.012380952380952381
gender_mostly_female,34,0.010793650793650795
pta_left_avg,26,0.008253968253968255
pta_right_avg,16,0.005079365079365079
