Feature,Importance,Normalized
hpyfs,56,0.13333333333333333
wyciyh,54,0.12857142857142856
fafmc,44,0.10476190476190476
ffahs,43,0.10238095238095238
qscore,31,0.07380952380952381
gender_male,28,0.06666666666666667
mfaf,26,0.06190476190476191
tut,24,0.05714285714285714
gender_female,24,0.05714285714285714
AgeAtTest,21,0.05
gender_unknown,15,0.03571428571428571
right2000,10,0.023809523809523808
right4000,8,0.01904761904761905
left1000,7,0.016666666666666666
pta_avg,7,0.016666666666666666
gender_mostly_male,6,0.014285714285714285
left2000,6,0.014285714285714285
right1000,3,0.007142857142857143
pta_right_avg,3,0.007142857142857143
left4000,2,0.004761904761904762
gender_mostly_female,2,0.004761904761904762
pta_left_avg,0,0.0
