Feature,Importance,Normalized
AgeAtTest,2740,0.10170749814402376
pta_left_avg,2720,0.10096510764662213
pta_avg,2575,0.09558277654046028
pta_right_avg,2499,0.09276169265033407
right4000,2229,0.08273942093541203
left4000,2164,0.08032665181885672
left2000,2112,0.07839643652561247
left1000,1946,0.07223459539717891
right2000,1894,0.07030438010393467
right1000,1720,0.06384558277654045
qscore,1316,0.04884929472902747
hpyfs,458,0.0170007423904974
fafmc,421,0.01562731997030438
ffahs,400,0.014847809948032665
tut,376,0.013956941351150704
mfaf,344,0.012769116555308092
wyciyh,320,0.011878247958426132
gender_male,268,0.009948032665181886
gender_female,209,0.007757980697847068
gender_unknown,137,0.005085374907201188
gender_mostly_male,59,0.0021900519673348183
gender_mostly_female,33,0.0012249443207126948
