Feature,Importance,Normalized
right4000,254,0.09202898550724638
AgeAtTest,242,0.08768115942028985
left4000,241,0.08731884057971015
right2000,228,0.08260869565217391
right1000,215,0.07789855072463768
tut,171,0.06195652173913044
left2000,170,0.06159420289855073
wyciyh,146,0.05289855072463768
fafmc,141,0.051086956521739134
left1000,131,0.04746376811594203
mfaf,116,0.042028985507246375
qscore,112,0.04057971014492753
hpyfs,110,0.03985507246376811
ffahs,110,0.03985507246376811
gender_male,105,0.03804347826086957
gender_female,82,0.029710144927536233
gender_unknown,74,0.02681159420289855
gender_mostly_female,36,0.013043478260869565
gender_mostly_male,33,0.011956521739130435
pta_avg,21,0.007608695652173913
pta_left_avg,12,0.004347826086956522
pta_right_avg,10,0.0036231884057971015
