Feature,Importance,Normalized
AgeAtTest,3384,0.11961823966065747
pta_left_avg,2629,0.09293036408624956
pta_right_avg,2623,0.09271827500883704
pta_avg,2346,0.08292682926829269
left1000,2308,0.0815835984446801
left4000,2261,0.07992223400494874
right1000,2209,0.07808412866737363
left2000,2186,0.07727112053729233
right4000,2167,0.07659950512548604
right2000,2122,0.07500883704489218
qscore,1152,0.040721102863202546
hpyfs,521,0.0184164015553199
fafmc,373,0.013184870979144574
ffahs,357,0.01261930010604454
mfaf,354,0.012513255567338281
tut,289,0.010215623895369388
gender_male,263,0.009296571226581831
gender_female,251,0.008872393071756805
gender_unknown,171,0.006044538706256628
wyciyh,134,0.004736656062212796
gender_mostly_male,113,0.003994344291269
gender_mostly_female,77,0.00272180982679392
