Feature,Importance,Normalized
hpyfs,235,0.20614035087719298
qscore,148,0.12982456140350876
wyciyh,127,0.11140350877192982
fafmc,101,0.08859649122807017
gender_male,83,0.07280701754385965
ffahs,76,0.06666666666666667
mfaf,61,0.05350877192982456
gender_female,58,0.05087719298245614
tut,54,0.04736842105263158
AgeAtTest,48,0.042105263157894736
gender_unknown,40,0.03508771929824561
left2000,21,0.018421052631578946
left1000,20,0.017543859649122806
right2000,19,0.016666666666666666
left4000,14,0.012280701754385965
right4000,11,0.009649122807017544
gender_mostly_male,11,0.009649122807017544
pta_avg,10,0.008771929824561403
pta_left_avg,2,0.0017543859649122807
right1000,1,0.0008771929824561404
pta_right_avg,0,0.0
gender_mostly_female,0,0.0
