Feature,Importance,Normalized
pta_left_avg,2990,0.10469187675070028
pta_right_avg,2915,0.10206582633053221
AgeAtTest,2831,0.09912464985994397
pta_avg,2686,0.09404761904761905
left2000,2373,0.08308823529411764
left4000,2248,0.07871148459383753
right4000,2239,0.07839635854341737
right2000,2067,0.07237394957983194
left1000,2031,0.07111344537815126
right1000,1826,0.06393557422969187
qscore,1280,0.04481792717086835
hpyfs,491,0.01719187675070028
fafmc,441,0.015441176470588236
ffahs,404,0.014145658263305322
tut,361,0.012640056022408964
mfaf,339,0.011869747899159663
gender_male,291,0.010189075630252101
wyciyh,280,0.00980392156862745
gender_female,245,0.00857843137254902
gender_unknown,130,0.004551820728291317
gender_mostly_male,49,0.001715686274509804
gender_mostly_female,43,0.0015056022408963586
