Feature,Importance,Normalized
pta_left_avg,2864,0.10762871101089816
pta_right_avg,2639,0.09917324314167607
AgeAtTest,2432,0.09139421270199173
pta_avg,2383,0.08955279969936114
left2000,2253,0.08466741826381059
left4000,2170,0.08154829011649756
left1000,2034,0.07643742953776776
right4000,1986,0.0746335963923337
right2000,1859,0.06986095452837279
right1000,1819,0.06835776024051109
qscore,1400,0.05261180007515971
hpyfs,393,0.014768883878241263
fafmc,386,0.014505824877865465
tut,320,0.012025554302893648
ffahs,316,0.01187523487410748
mfaf,290,0.010898158586997369
wyciyh,290,0.010898158586997369
gender_male,285,0.010710259301014656
gender_female,255,0.009582863585118376
gender_unknown,128,0.004810221721157459
gender_mostly_male,59,0.0022172115745960163
gender_mostly_female,49,0.00184141300263059
