Feature,Importance,Normalized
right1000,1385,0.12511291779584463
right4000,1211,0.1093947606142728
right2000,1119,0.1010840108401084
left2000,932,0.08419150858175248
AgeAtTest,889,0.08030713640469737
wyciyh,665,0.06007226738934056
left1000,581,0.05248419150858175
qscore,462,0.04173441734417344
tut,448,0.04046973803071364
mfaf,433,0.039114724480578136
left4000,426,0.03848238482384824
ffahs,415,0.037488708220415536
fafmc,401,0.03622402890695574
gender_male,378,0.03414634146341464
hpyfs,326,0.02944896115627823
gender_female,311,0.028093947606142727
gender_unknown,264,0.023848238482384824
gender_mostly_male,113,0.01020776874435411
pta_right_avg,107,0.009665763324299909
gender_mostly_female,78,0.007046070460704607
pta_avg,64,0.005781391147244806
pta_left_avg,62,0.005600722673893405
