Feature,Importance,Normalized
AgeAtTest,2850,0.10052910052910052
pta_right_avg,2808,0.09904761904761905
pta_left_avg,2774,0.09784832451499118
pta_avg,2460,0.08677248677248678
left4000,2301,0.08116402116402116
left2000,2276,0.08028218694885361
right4000,2267,0.0799647266313933
left1000,2145,0.07566137566137567
right2000,2085,0.07354497354497354
right1000,1824,0.06433862433862433
qscore,1490,0.05255731922398589
hpyfs,456,0.016084656084656083
fafmc,431,0.015202821869488537
ffahs,430,0.015167548500881834
mfaf,351,0.012380952380952381
tut,321,0.011322751322751323
gender_male,314,0.011075837742504408
wyciyh,257,0.009065255731922399
gender_female,232,0.00818342151675485
gender_unknown,165,0.00582010582010582
gender_mostly_female,67,0.00236331569664903
gender_mostly_male,46,0.0016225749559082893
