Feature,Importance,Normalized
wyciyh,52,0.13333333333333333
hpyfs,51,0.13076923076923078
qscore,41,0.10512820512820513
fafmc,35,0.08974358974358974
ffahs,31,0.07948717948717948
gender_female,28,0.07179487179487179
gender_male,26,0.06666666666666667
mfaf,22,0.05641025641025641
AgeAtTest,20,0.05128205128205128
gender_unknown,20,0.05128205128205128
left2000,10,0.02564102564102564
left1000,10,0.02564102564102564
gender_mostly_male,7,0.017948717948717947
right4000,7,0.017948717948717947
right2000,6,0.015384615384615385
tut,6,0.015384615384615385
pta_avg,5,0.01282051282051282
right1000,4,0.010256410256410256
pta_right_avg,4,0.010256410256410256
left4000,2,0.005128205128205128
pta_left_avg,2,0.005128205128205128
gender_mostly_female,1,0.002564102564102564
