Feature,Importance,Normalized
AgeAtTest,2068,0.12114821323960163
pta_left_avg,1455,0.0852372583479789
pta_right_avg,1453,0.08512009373169303
pta_avg,1404,0.08224956063268893
left1000,1283,0.07516110134739308
left4000,1282,0.07510251903925015
right4000,1268,0.07428236672524897
left2000,1170,0.06854130052724078
right2000,1163,0.06813122437024019
right1000,1104,0.06467486818980668
qscore,1041,0.060984182776801406
tut,330,0.019332161687170474
ffahs,320,0.018746338605741066
fafmc,308,0.018043350908025776
mfaf,308,0.018043350908025776
wyciyh,299,0.017516110134739308
hpyfs,258,0.015114235500878734
gender_male,189,0.011072056239015818
gender_female,162,0.009490333919156414
gender_unknown,131,0.007674282366725249
gender_mostly_male,43,0.002519039250146456
gender_mostly_female,31,0.0018160515524311659
