Feature,Importance,Normalized
pta_left_avg,2733,0.10642523364485981
pta_right_avg,2668,0.10389408099688474
pta_avg,2498,0.09727414330218069
AgeAtTest,2293,0.08929127725856698
left4000,2242,0.08730529595015576
right4000,1999,0.07784267912772586
left2000,1972,0.07679127725856698
left1000,1820,0.07087227414330217
right2000,1775,0.06911993769470405
right1000,1740,0.06775700934579439
qscore,1253,0.04879283489096573
hpyfs,434,0.01690031152647975
fafmc,411,0.016004672897196263
tut,331,0.012889408099688474
ffahs,320,0.012461059190031152
mfaf,273,0.010630841121495328
wyciyh,247,0.009618380062305296
gender_male,245,0.0095404984423676
gender_female,236,0.009190031152647975
gender_unknown,97,0.003777258566978193
gender_mostly_female,51,0.001985981308411215
gender_mostly_male,42,0.0016355140186915889
