Feature,Importance,Normalized
AgeAtTest,358,0.13408239700374533
right1000,298,0.11161048689138577
right2000,257,0.09625468164794007
left2000,216,0.08089887640449438
right4000,203,0.07602996254681647
wyciyh,167,0.06254681647940075
ffahs,133,0.049812734082397
tut,130,0.04868913857677903
fafmc,105,0.03932584269662921
left4000,105,0.03932584269662921
qscore,104,0.03895131086142322
left1000,103,0.03857677902621723
hpyfs,94,0.03520599250936329
mfaf,88,0.03295880149812734
gender_male,87,0.03258426966292135
gender_female,78,0.029213483146067417
gender_unknown,50,0.018726591760299626
pta_avg,28,0.010486891385767791
gender_mostly_male,25,0.009363295880149813
gender_mostly_female,15,0.0056179775280898875
pta_right_avg,14,0.0052434456928838954
pta_left_avg,12,0.0044943820224719105
