Feature,Importance,Normalized
wyciyh,200,0.11494252873563218
ffahs,184,0.10574712643678161
hpyfs,170,0.09770114942528736
fafmc,157,0.09022988505747126
qscore,140,0.08045977011494253
tut,99,0.056896551724137934
AgeAtTest,97,0.05574712643678161
gender_male,96,0.05517241379310345
gender_female,92,0.052873563218390804
gender_unknown,69,0.039655172413793106
mfaf,65,0.03735632183908046
right4000,48,0.027586206896551724
left2000,47,0.027011494252873563
left1000,44,0.02528735632183908
gender_mostly_male,44,0.02528735632183908
right1000,37,0.021264367816091954
right2000,34,0.01954022988505747
pta_avg,31,0.017816091954022988
left4000,29,0.016666666666666666
gender_mostly_female,26,0.014942528735632184
pta_right_avg,25,0.014367816091954023
pta_left_avg,6,0.0034482758620689655
