Feature,Importance,Normalized
AgeAtTest,2954,0.10224991346486674
pta_left_avg,2806,0.09712703357563171
pta_right_avg,2643,0.09148494288681204
left4000,2472,0.08556593977154725
pta_avg,2453,0.08490827275874005
left2000,2338,0.08092765662859121
right4000,2235,0.07736240913811007
left1000,2224,0.076981654551748
right1000,1934,0.0669435790931118
right2000,1916,0.06632052613361025
qscore,1442,0.049913464866735896
fafmc,512,0.01772239529248875
hpyfs,475,0.016441675320179993
mfaf,440,0.01523018345448252
tut,414,0.014330218068535825
ffahs,406,0.014053305642090688
wyciyh,346,0.011976462443752164
gender_male,329,0.011388023537556248
gender_female,238,0.008238144686742818
gender_mostly_female,133,0.004603669089650398
gender_unknown,126,0.004361370716510903
gender_mostly_male,54,0.001869158878504673
