Feature,Importance,Normalized
wyciyh,0.30232394,0.30232397
qscore,0.12482591,0.12482592
hpyfs,0.06704188,0.06704189
gender_male,0.0567833,0.056783304
tut,0.047855232,0.047855236
AgeAtTest,0.047435984,0.047435988
right4000,0.04546209,0.045462094
ffahs,0.044862095,0.0448621
gender_female,0.043014497,0.0430145
fafmc,0.042653114,0.042653117
pta_avg,0.032046698,0.0320467
mfaf,0.03090199,0.030901993
left2000,0.019527761,0.019527763
right1000,0.016358087,0.016358089
gender_unknown,0.015290115,0.015290116
left4000,0.01288054,0.012880541
right2000,0.012681566,0.012681567
left1000,0.011637112,0.011637113
gender_mostly_male,0.008327546,0.0083275465
pta_right_avg,0.0065943645,0.006594365
gender_mostly_female,0.0063528977,0.006352898
pta_left_avg,0.005143262,0.0051432624
