Feature,Importance,Normalized
wyciyh,0.23397912,0.23397912
qscore,0.113844946,0.113844946
fafmc,0.09939075,0.09939075
ffahs,0.09758924,0.09758924
hpyfs,0.08503749,0.08503749
pta_avg,0.07370105,0.07370105
mfaf,0.052674577,0.052674577
AgeAtTest,0.047533363,0.047533363
gender_male,0.03730879,0.03730879
pta_right_avg,0.03168272,0.03168272
tut,0.025937945,0.025937945
gender_female,0.018575486,0.018575486
right4000,0.018409416,0.018409416
left1000,0.013132156,0.013132156
left4000,0.012496878,0.012496878
right2000,0.010109165,0.010109165
left2000,0.008142878,0.008142878
right1000,0.0058367923,0.0058367923
gender_mostly_male,0.005634639,0.005634639
gender_unknown,0.0042707343,0.0042707343
gender_mostly_female,0.0036602614,0.0036602614
pta_left_avg,0.0010515782,0.0010515782
