Feature,Importance,Normalized
wyciyh,0.23971316,0.23971313
fafmc,0.16131525,0.16131523
left4000,0.132967,0.13296698
hpyfs,0.113595605,0.11359559
tut,0.08218094,0.08218093
gender_male,0.04948161,0.049481604
qscore,0.039064627,0.039064623
mfaf,0.03592004,0.035920035
ffahs,0.034273203,0.0342732
gender_female,0.02234422,0.022344219
AgeAtTest,0.02182171,0.021821707
right4000,0.012320529,0.012320527
right2000,0.012044729,0.012044727
pta_left_avg,0.01122453,0.011224529
left1000,0.00976701,0.009767009
right1000,0.00891927,0.008919269
left2000,0.004428128,0.0044281273
gender_mostly_female,0.0023431645,0.0023431643
gender_unknown,0.002099115,0.0020991147
pta_right_avg,0.0014866716,0.0014866714
pta_avg,0.001442363,0.0014423629
gender_mostly_male,0.0012472346,0.0012472345
