Feature,Importance,Normalized
wyciyh,0.33870715,0.33870718
qscore,0.1453701,0.14537011
tut,0.059500422,0.059500426
pta_left_avg,0.055512354,0.055512358
pta_right_avg,0.053769782,0.053769786
pta_avg,0.04946835,0.049468353
ffahs,0.047597654,0.047597658
right1000,0.04432982,0.044329822
AgeAtTest,0.037025575,0.03702558
left2000,0.035853613,0.035853617
fafmc,0.031729937,0.03172994
right4000,0.02735372,0.027353723
mfaf,0.023589319,0.02358932
right2000,0.019198624,0.019198626
left4000,0.016272577,0.016272578
gender_unknown,0.009563544,0.009563545
hpyfs,0.005157403,0.0051574036
left1000,0.0,0.0
gender_female,0.0,0.0
gender_male,0.0,0.0
gender_mostly_female,0.0,0.0
gender_mostly_male,0.0,0.0
