Feature,Importance,Normalized
wyciyh,0.10478994,0.10478995
tut,0.10279643,0.102796435
right1000,0.075656205,0.07565621
hpyfs,0.067316554,0.06731656
ffahs,0.06100448,0.061004482
pta_right_avg,0.059116572,0.059116576
fafmc,0.057381142,0.057381146
left2000,0.056581665,0.05658167
AgeAtTest,0.05435242,0.054352425
gender_male,0.050779976,0.05077998
left4000,0.049671933,0.049671937
qscore,0.049463738,0.04946374
mfaf,0.036210824,0.036210828
right2000,0.033965655,0.03396566
gender_female,0.032959215,0.03295922
left1000,0.03143139,0.031431396
pta_left_avg,0.019606967,0.019606968
right4000,0.018117521,0.018117523
gender_unknown,0.015144348,0.015144349
pta_avg,0.011637857,0.011637858
gender_mostly_male,0.0076516867,0.007651687
gender_mostly_female,0.0043634023,0.0043634027
