Feature,Importance,Normalized
right4000,0.1256651,0.12566508
left4000,0.11095856,0.11095855
gender_male,0.10343572,0.1034357
ffahs,0.10225326,0.10225324
wyciyh,0.100959726,0.10095971
fafmc,0.09640603,0.09640601
mfaf,0.066154055,0.06615405
right2000,0.06023026,0.06023025
hpyfs,0.049672283,0.049672276
gender_female,0.030852418,0.030852415
tut,0.027489748,0.027489744
qscore,0.025482116,0.025482113
pta_left_avg,0.020233138,0.020233136
right1000,0.017617159,0.017617157
AgeAtTest,0.017530205,0.017530203
pta_right_avg,0.017394222,0.01739422
pta_avg,0.0109707285,0.010970728
gender_unknown,0.0073783793,0.0073783784
left2000,0.0042024944,0.004202494
left1000,0.0025691346,0.0025691343
gender_mostly_male,0.0017216655,0.0017216653
gender_mostly_female,0.0008236917,0.0008236916
