Feature,Importance,Normalized
qscore,0.15217549,0.15217547
wyciyh,0.15175825,0.15175824
pta_right_avg,0.124960706,0.12496069
fafmc,0.08943628,0.08943627
tut,0.08871206,0.08871205
ffahs,0.06687047,0.066870466
gender_male,0.04593375,0.045933746
hpyfs,0.039662074,0.03966207
gender_female,0.03519644,0.035196435
mfaf,0.031559173,0.03155917
left4000,0.029655997,0.029655993
AgeAtTest,0.028157378,0.028157374
right4000,0.022282293,0.022282291
left2000,0.019319696,0.019319694
right1000,0.016497144,0.016497143
left1000,0.01214087,0.012140868
gender_unknown,0.0118134525,0.011813451
right2000,0.010923579,0.010923578
pta_left_avg,0.0062403874,0.0062403865
gender_mostly_male,0.0061158445,0.0061158435
gender_mostly_female,0.0056699878,0.0056699873
pta_avg,0.004918805,0.0049188044
