Feature,Importance,Normalized
wyciyh,0.12308632,0.12308632
hpyfs,0.09758124,0.09758124
mfaf,0.07706393,0.07706393
qscore,0.072658226,0.072658226
fafmc,0.069101974,0.069101974
tut,0.05970799,0.05970799
AgeAtTest,0.055095233,0.055095233
gender_male,0.050089777,0.050089777
pta_right_avg,0.04944179,0.04944179
pta_avg,0.04722821,0.04722821
ffahs,0.04439026,0.04439026
gender_female,0.03743719,0.03743719
right4000,0.035254404,0.035254404
left4000,0.033843346,0.033843346
right1000,0.031034559,0.031034559
left1000,0.028258238,0.028258238
right2000,0.027922766,0.027922766
pta_left_avg,0.020501262,0.020501262
left2000,0.019673524,0.019673524
gender_unknown,0.008643344,0.008643344
gender_mostly_female,0.00669894,0.00669894
gender_mostly_male,0.005287473,0.005287473
