Feature,Importance,Normalized
wyciyh,0.10169826,0.10169826
mfaf,0.08385051,0.08385051
hpyfs,0.08068865,0.08068865
ffahs,0.06897635,0.06897635
gender_male,0.061402038,0.061402038
AgeAtTest,0.060915817,0.060915817
fafmc,0.05404315,0.05404315
tut,0.051902067,0.051902067
right4000,0.047990713,0.047990713
right1000,0.0438292,0.0438292
left2000,0.042917386,0.042917386
pta_left_avg,0.041658334,0.041658334
pta_right_avg,0.035873465,0.035873465
left4000,0.035383914,0.035383914
right2000,0.034204815,0.034204815
left1000,0.03078742,0.03078742
qscore,0.030124677,0.030124677
gender_female,0.027784515,0.027784515
gender_unknown,0.025531076,0.025531076
pta_avg,0.018714188,0.018714188
gender_mostly_female,0.012426265,0.012426265
gender_mostly_male,0.0092972275,0.0092972275
