Feature,Importance
wyciyh,0.4135798426236311
AgeAtTest,0.1748318594639181
right4000,0.041651248539506934
right2000,0.03781648098606563
left1000,0.03654048886906543
left2000,0.034476921794108856
left4000,0.033074244717492755
qscore,0.03295940927430774
tut,0.027002943479289845
right1000,0.026921685799054955
ffahs,0.02586682995765544
pta_avg,0.02021215568377655
pta_right_avg,0.019299611321753944
gender_male,0.013270136177094312
pta_left_avg,0.013159148474057589
hpyfs,0.01181694243358898
fafmc,0.011168508792551879
mfaf,0.01071573155734394
gender_female,0.009640357468094022
gender_unknown,0.003738406320129548
gender_mostly_male,0.0017577874547420303
gender_mostly_female,0.0004992588127705435
