Feature,Importance
hpyfs,0.08115823092479525
fafmc,0.08023208707951408
qscore,0.07716811222438484
wyciyh,0.07682617649279937
ffahs,0.0742892719941446
mfaf,0.07220976411949055
tut,0.0697174308667686
AgeAtTest,0.061536358333615954
pta_avg,0.047676867886258516
pta_right_avg,0.04387386745299922
right4000,0.04222827389978232
gender_male,0.03904017343156891
left4000,0.037940178559751576
right2000,0.036983767224131846
pta_left_avg,0.03694820075728507
left2000,0.035280576739651424
right1000,0.028115071795665615
left1000,0.027491790688601126
gender_female,0.022229003203257415
gender_unknown,0.004783927654484732
gender_mostly_male,0.002874582315981234
gender_mostly_female,0.0013962863550677279
