Feature,Importance
wyciyh,0.19961974567343577
qscore,0.15231832622517252
hpyfs,0.14590912613304124
fafmc,0.09797610358126073
ffahs,0.08448272237150806
AgeAtTest,0.07839989113415509
tut,0.06135077261511224
mfaf,0.04909090697764204
pta_avg,0.028541986054927027
right4000,0.02007100452445083
gender_male,0.014316943287665073
gender_female,0.012669934654624664
left4000,0.012518939165120015
pta_right_avg,0.010412876416725817
pta_left_avg,0.00858264807432909
left2000,0.007288279799843823
right2000,0.00681832156028956
left1000,0.005845315848985425
right1000,0.0025171080290370073
gender_unknown,0.0011350855017484977
gender_mostly_female,9.961234253716672e-05
gender_mostly_male,3.435002838840293e-05
