Feature,Importance
wyciyh,0.37937166166061875
AgeAtTest,0.1534675031959092
left2000,0.05992008155028994
qscore,0.049676267830229374
right4000,0.045943592924284966
right1000,0.04278625336649655
left4000,0.038504495388464524
left1000,0.037929615290797816
right2000,0.03500550021180901
pta_avg,0.022372860993734405
pta_right_avg,0.018682036700599806
tut,0.016670501478775832
hpyfs,0.016215960426100434
pta_left_avg,0.01607595382789389
ffahs,0.014894206565688335
gender_male,0.014510018923101994
mfaf,0.01358928153397137
fafmc,0.012218623624102856
gender_female,0.0067296328240323555
gender_unknown,0.003363816033829326
gender_mostly_male,0.0014246408884657795
gender_mostly_female,0.000647494760803253
