Feature,Importance
hpyfs,0.2568747399891192
wyciyh,0.23413933589719232
qscore,0.1345590612656986
fafmc,0.08347879513407945
AgeAtTest,0.07402792645195208
ffahs,0.06686302429821218
tut,0.040782912651468974
mfaf,0.03145085660542054
pta_avg,0.013170710074341313
pta_left_avg,0.011274876265825962
gender_male,0.011021748335974399
right4000,0.00895060330322355
left2000,0.007337262259384585
gender_female,0.006736039335624412
left4000,0.005750036384207344
right2000,0.004586022720020991
left1000,0.004016973493963237
pta_right_avg,0.003944859259174486
right1000,0.0008778686567788224
gender_unknown,0.00015006393014825356
gender_mostly_female,6.283688189390014e-06
gender_mostly_male,0.0
