Feature,Importance
wyciyh,0.1865433587022529
hpyfs,0.15370391597644806
qscore,0.14276169265778627
fafmc,0.0876816173308972
ffahs,0.0859893687006141
mfaf,0.07438370096660052
AgeAtTest,0.07038312377608463
tut,0.04792228671505257
pta_avg,0.027909703532394702
right4000,0.02598606159964157
gender_male,0.017170758622080076
pta_right_avg,0.015395208954890152
gender_female,0.014650615315665454
left2000,0.013246145817317345
right2000,0.009891286595698294
pta_left_avg,0.0071515372606997885
left4000,0.006736913274685703
left1000,0.006503879354529285
right1000,0.004534138354020249
gender_unknown,0.0013806576900300357
gender_mostly_female,6.125424471977275e-05
gender_mostly_male,1.2774557891313953e-05
