Feature,Importance
wyciyh,0.20352922493154316
AgeAtTest,0.12680507785875694
qscore,0.12139646765765563
right4000,0.08297512389599698
pta_avg,0.05453672757797546
tut,0.052799627620952076
left4000,0.04691636145223179
right2000,0.04337109508043748
pta_right_avg,0.04169709617617826
left1000,0.03794286071290203
left2000,0.035185285790447
right1000,0.03324056334923786
pta_left_avg,0.022649946051989323
ffahs,0.021689790092672617
fafmc,0.017232069377803423
hpyfs,0.016152930398943638
gender_male,0.01504501896292712
mfaf,0.013665205488584685
gender_female,0.00603241322379306
gender_unknown,0.0030703929228571895
gender_mostly_male,0.0027619773301040492
gender_mostly_female,0.0013047440460103
