Feature,Importance
wyciyh,0.3164094177331758
AgeAtTest,0.1282328728415315
qscore,0.09173647223985515
left2000,0.05257390078319018
left4000,0.05137256373848452
right4000,0.05077045259923061
right2000,0.04310191909177135
right1000,0.03921945471037291
left1000,0.03692631887643957
pta_avg,0.027859567875321345
pta_left_avg,0.024678592124892863
pta_right_avg,0.019951388176553633
hpyfs,0.019670422714580485
tut,0.01887806185021341
ffahs,0.017501314594258965
fafmc,0.01611816391025336
gender_male,0.014434761395880284
mfaf,0.013417513709431299
gender_female,0.007067944889559699
gender_unknown,0.005144304049010746
gender_mostly_female,0.00316977216253573
gender_mostly_male,0.0017648199334564499
