Feature,Coefficient,Importance,Normalized
pta_right_avg,37.80776367558384,37.80776367558384,0.2611565952662743
pta_avg,17.791822676518876,17.791822676518876,0.122896764634128
right1000,-15.579355083822293,15.579355083822293,0.10761417588850611
right4000,-15.564247805146215,15.564247805146215,0.1075098225737574
right2000,-15.557618907774279,15.557618907774279,0.10746403355849378
gender_male,7.258488864772236,7.258488864772236,0.0501379096359052
gender_female,7.045425590427019,7.045425590427019,0.04866617806823739
gender_unknown,6.109766347010685,6.109766347010685,0.04220312501816157
gender_mostly_female,5.634765375591355,5.634765375591355,0.03892206249596442
gender_mostly_male,5.602765604586888,5.602765604586888,0.03870102452829896
left1000,-2.2305609323533333,2.2305609323533333,0.015407568234551692
left4000,-2.22628183176751,2.22628183176751,0.015378010407503669
pta_left_avg,-2.224118322881985,2.224118322881985,0.015363066000338509
left2000,-2.2155122063889414,2.2155122063889414,0.015303619371834542
wyciyh,0.8960085614976654,0.8960085614976654,0.006189166522993216
qscore,0.28043732260315835,0.28043732260315835,0.001937116857401634
hpyfs,-0.25099993191672515,0.25099993191672515,0.001733778495705389
ffahs,-0.18599842261128258,0.18599842261128258,0.0012847814853812578
mfaf,-0.1594936782385796,0.1594936782385796,0.0011017003368062577
fafmc,-0.06513352562775825,0.06513352562775825,0.0004499089112117735
tut,0.046054319869048656,0.046054319869048656,0.0003181195660634097
AgeAtTest,0.037853445594994074,0.037853445594994074,0.00026147214248141177
